titulo,texto,categoria
SBT remote caching weird invalidation,meta info I created a simple project using with the following directory structure build.sbt looks like I then performed a The cache now looks like I then copied my project to some other subfolder ( with same name ) and updated just one file in the project But on performing I get a full compilation Have I misunderstood the usage of remote caching? Why isn't my remote cache not containing sources?,Pregunta
How I hacked Facebook: Part Two,"This article was previously revised by multiple parties before releasing it, and I had to get written permission to release it as well so that some names and information might be changed as a request from Facebook and its partners. So when I found the first vulnerability in part one Facebook mitigated it after a day of reporting it.. then I had to get back to read the burp suite history and just to see how things worked. As you can observe in the screenshot, Number 1 in blue, the cookies its ASPXAUTH, Absolutely yes!. Have you got what I imply? — ASPXAUTH indicates 80% it’s vulnerable but first, you need several things: validationKey (string): hex-encoded key to use for",Artículo
Entity Developer and ADO.Net Data Providers Now Support Entity Framework Core 5,"Devart announced an update for Entity Developer and dotConnect ADO.NET data providers for Oracle, MySQL, PostgreSQL, and SQLite. The new versions now support Entity Framework Core 5.0. Devart, a recognized vendor of professional database management software and world-class data connectivity solutions for various data connection technologies and frameworks, introduced support of the Entity Framework Core 5.0 in Entity Developer and dotConnect providers. Entity Developer 6.10 can now detect many-to-many associations and table-per-type inheritances automatically when generating an Entity Framework Core 5.0 model from a database. Also, these inheritances and associations could be created manually via the corresponding editors or Model Refactoring Wizard. Standalone Entity Developer application now targets Entity Framework Core 5.0 by default, when creating new Entity Framework Core",Artículo
7 must learn programming languages for kids,"As technology innovation turns out to be upgraded in our daily lives, the fundamental computer programming languages no longer have importance in today’s world. All they need is progress in every step of technology they use. In fact, programming for kids has become an important topic and day by day, increasing awareness. As everyone is interested in learning “how does a computer work?” even the kids may be wondering about the computer working process. This is a groundbreaking exercise for them to challenge themselves and learn coding languages at an early age. Teach them how to figure out the program in the most difficult way. Numerous free videos on YouTube can guide you from the beginning. In a couple of",Artículo
Exporting and Importing JSON Data,"Exporting and Importing JSON Data Photo from Piqsels (CC0) In the previous articles, we studied the basic rules of SQL database design, created a database schema diagram for a recruitment service, and filled the newly-created database with test data on employees. Img.1. The database structure diagram for a recruitment service The database contains the following entities: Employee Company Position Project Skill This time, let’s consider the ways to transfer data from one SQL Server database to another one through export and import. This can come in handy when the management system of the client database is an older version than the data source. Meaning, when it is impossible to use a backup copy or when only a part of data",Artículo
Working on an Open Source Project as a Team,"Working on an Open Source Project as a Team Reflecting on our experience contributing to open source project Reactime Photo by Javier Allegue Barros on Unsplash. Now that our team has launched Reactime version 7.0, we have some time to reflect on our experience contributing to an open source project. Our team was incredibly productive despite working across multiple time zones and exclusively communicating virtually. The most important aspects of our successful team dynamic were pretty simple: empathy and communication. More concretely, here is how we put these into practice. Before diving into a project, we discussed everyone’s individual goals and searched for an application that we were all passionate about and would enjoy working on. We all love using",Artículo
Apache Mesos. What’s That?,"Apache Mesos Overview Apache Mesos is an open-source, distributed, highly available, and fault-tolerant cluster manager developed originally at the University of California, Berkeley. Similar to Kubernetes, Apache Mesos provides an easy way to develop distributed applications. Mesos provides CPU, memory, and disk resource abstractions for a given set of servers inside a data center. It can easily make data centers behave as if they were a single monstrous machine. Mesos is an abstraction layer that abstracts both virtual and physical machines. The basic idea of Mesos is to act as a facade in front of a group of machines. Such a group of machines that are managed by Mesos is called a Mesos cluster. So instead of reaching out to",Artículo
How can I encrypt large files in chunks?,"I tried to use and Rust crates and in both cases I was having an issue where I tried to encrypt a file larger than the size of a chunk buffer I will get an invalid ciphertext which is not decryptable. Here's the example conditions I want this program to run at: I need to encrypt 50 gigabyte file but have only 2 gigabytes of ram and 4 gigabytes of storage, so I can't take the entire file into memory and I can't write it to a new file in chunks. I need to somehow replace chunks of the file with it's encrypted ones. Here's my code: I expected it to work for files larger than the chunk buffer size",Pregunta
Building a Music Game in JavaScript: Part 2,"Building a Music Game in JavaScript: Part 2 Adding gamification, score, and interaction Photo by Zorik D on Unsplash In part 1, I described how to use async functions in JavaScript to play a series of sounds at a specific interval, with all of it being controlled by a pad. After each interval, a loop iterates through the sounds again and plays the ones that are switched on. Let’s now go through the gaming logic and explore how the score, timer, win and lose mechanics are done. When the user plays, they hear a beat coming from the computer, and then they have a limited time to recreate it. During this time, they can try different patterns, listen to the",Artículo
How to handle Non Sendable Struct in Async/Await?,"I have a View that can let the User pick an Image. I bind the PhotoPicker to ""item"" a PhotoPickerItem. But in the ""getImage"" Function i get an error: ""Sending 'photoPickerItem.some' risks causing data races"". I think the problem here is that PhotoPickerItem is not a Sendable. But how do i fix that issue? Waiting for Apple to let Photopickeritem conform to Sendable? i tried i watched apple sessions for migration to swift6 but nothing is working",Pregunta
Stored Procedure vs Direct Execute performance,"I have this stored procedure on a SQL Server database which is used to update static data. It has 40,000 table inserts/updates in it. It has no parameters. If I execute the stored procedure in SQL Server Management Studio (SSMS), it's taking over 15 minutes to run. However, if I run its script contents directly it's taking 1 minute! I have tried things like: OPTION(RECOMPILE) UPDATE STATISTICS DBCC FREEPROCCACHE;",Pregunta
iOS Navigation Bar Design Guide,"A navigation bar is usually placed at the top of the view, below (1.) the Status Bar, and contains 3 main components: (2.) a left item, (3.) a title, and (4.) a right item(s) (both 2. and 4. are optional). This bar provides hierarchical navigation between views, and is one of the ways to prevent the user from getting lost inside an app. The navigation bar can be paired with (5.) a Search Controller and (6.) a Scope Indicator. 1. Status Bar The Status Bar displays contextual information about the device, and it appears on the upper edge of the view. The elements that are usually in use are the time, the cellular carrier, the wifi connection symbol, and the",Artículo
iOS18 WKWebview evaluateJavaScript crash in multiple thread - BUG IN CLIENT OF LIBPLATFORM: Trying to recursively lock an os_unfair_lock,"After upgrade to iOS18, my iPhone app keeps crash with the following error: libsystem_platform.dylib`_os_unfair_lock_recursive_abort: My app opens ~10 web pages at the same time by using WKWebview. Once the page is loaded, I use evaluateJavaScript to get the page html content. Then I use kanna to parse the html data. The code likes: After the debug, it seems that it will work OK if number of web pages being loaded concurrently is 2 or 3. If I load 10 different web pages at the same time, the app will crash with the error: BUG IN CLIENT OF LIBPLATFORM: Trying to recursively lock an os_unfair_lock The same code has worked well in iOS17 or earlier. I have tried the following approach:",Pregunta
"""aborting due to insecure configuration"" while configuring TLS on Rust rocket server","I had a rust rocket server running on http and wanted to use SSL for https. So I looked up rocket's docs and they say that mentioning and updating the toml file should work. So I used lets encrypt to make cert and key, and then updated the file to Now,I tried to run it using . Initially I got error permissions, so I gave 777 to . Then, I get this error... Here's the full back-trace Looks like I'm missing some important step? Trying SSL for the first time (looked at a few tutorials but they are not for rust rocket). Any help appreciated! My setup Rust Rocket server running on docker on RaspPi. Port 80 forwarded from my",Pregunta
SKAction completion closure error: Escaping closure captures 'inout' parameter,"I'm trying to call a function that takes in an Array as a reference And the function will make the array pops its first element to run some animations. Once the animation is complete, the element gets put back to the Array However, I get the following error message: How do I get this function to work? Thanks in advance.",Pregunta
Accessing remote MySql server using local PhpMyAdmin,How to access remote MySql server using local PhpMyAdmin It is very tedious to connect your remote mysql box especially when you are working with VPN. Initially I used telnet to connect to mysql box than I try to use workbench. Workbench is good and better than using telnet but again it consume more memory and if VPN got disconnected it just hanged. It so irritating. Than I try to configure my PHPMyAdmin to access remote mysql server and it is really very easy to setup. Just you need to configure/modify a single file in PHPMyAdmin folder i.e. “ config.inc.php”. Just add below lines to your “config.inc.php” file add the bottom: //provide hostname and port if other than default$i++; $cfg['Servers'][$i]['host'],Artículo
"Micronaut mTLS with Self-Signed Certificate Without CA - Getting Unauthorized (401), but Works in Postman & Terminal","I am trying to configure Micronaut HTTP Client to communicate with a self-signed HTTPS server using mutual TLS (mTLS). The server does not use a CA certificate, and I have set up client keystore and truststore as per the Micronaut documentation in which skipped the root CA cert. However, I am still receiving a 401 Unauthorized error when making requests. Problem: mTLS communication works fine in Postman & Terminal (curl). Fails with 401 Unauthorized in Micronaut HTTP Client. Micronaut Version: Micronaut 3.9.6 application.yml (For Client) Expected Behavior The Micronaut HTTP client should send the client certificate correctly. The request should not be rejected with 401 Unauthorized. Since Postman & curl work fine, Micronaut should behave the same way. [EDIT]: Wireshark",Pregunta
Nest.js & Webpack Hot Module Replacement,"Hot Module Replacement, or HMR, can be found in many different languages and frameworks in software engineering to keep this article short the scope will be limited to HMR in webpack and, briefly, how it works with nest. For more information check out nestjs.com documentation on hot reload and webpack’s documentation on HMR Nest.js According to nestjs.com: Nest is a framework for building efficient, scalable Node.js server-side applications. It uses progressive JavaScript, is built with TypeScript (preserves compatibility with pure JavaScript) and combines elements of OOP (Object Oriented Programming), FP (Functional Programming), and FRP (Functional Reactive Programming). Under the hood, Nest makes use of Express, but also provides compatibility with a wide range of other libraries (e.g. Fastify). This allows",Artículo
Exit swirl in the middle of a cmd_question,"I know I can exit swirl by typing bye() but this doesn't work when I have a cmd question that is waiting for my input. In this case it works as ""normal R"" and if I type some of the keywords of swirl (not only bye but also info and so on) I get function not found. Any solution? ESC won't work either.",Pregunta
"Terminating app due to uncaught exception 'MLKMissingLocalizerModel', reason: 'Object localizer model is missing","I use ML Kit library: In my application, when I run to capture QR code, it's crashing with the following error. Terminating app due to uncaught exception 'MLKMissingLocalizerModel', reason: 'Object localizer model is missing.' First throw call stack: (0x19cca95ec 0x19a225244 0x19cdf66e0 0x105157c64 0x19a1ff4ec 0x19a20672c 0x19a206514 0x19a2063c8 0x19a1f9e7c 0x19a1f80e4 0x19b6a5384 0x1047268a0 0x104726620 0x104727af8 0x104727b58 0x1bb633ffc 0x1bb672458 0x1bfa54944 0x1bfa5470c 0x10807e578 0x108081680 0x108098d98 0x1080977d8 0x10808ecd0 0x10808e9b4 0x19ccf5bbc 0x19ccf21b0 0x19cd44274 0x1e9ebd4c0 0x19f88a77c 0x19f4b0e64 0x19fbeda7c 0x1046a2be4 0x1046a2b5c 0x1046a2c60 0x1c2f18de8) libc++abi: terminating due to uncaught exception of type NSException I did google search more and more, although I didn't find a solution for it. Any suggestion will be appreciated. This is the code related to the crash:",Pregunta
What is VR and how it will change our lives ?,"What is Virtual Reality? Have you ever wondered how it would be to transfer yourself into a whole new world right from the place you are currently within seconds? If this is something that you have always wanted, then your wait is over! We have virtual reality here! Virtual reality is a technology that enables to you experience anything, anywhere, at anytime. It creates a three dimensional effect using two senses, viz: sound and sight. Devices are being developed which block the actual world around you from disturbing you when you wear these VR devices to help you experience the virtual world. This article talks about how the top three performing business sectors which can exploit the advantages of virtual",Artículo
An Intro to Web3 Development,"Photo by michael podger on Unsplash In my previous post, I talked about the basics of Ethereum at a higher level as an introduction to people just coming into the field of crypto. In this post (and future posts), I’ll be taking it deeper into the specifics of Web3 development using Node scripts and web3.js. For the full code example, check out the GitHub repo. Set Up Test Wallet The first step to developing on the blockchain is getting a test wallet set up. There are many ways to do this, but we’ll do it through metamask. If you already have a test wallet with a public address, you can skip this step. First, install the metamask chrome plugin and",Artículo
".NET 9 Blazor WebApp => WebAssembly MapStaticAssets, change appsettings.json during deployment runtime error","With .NET 8 we used the stand-alone Blazor WebAssembly for production, and during the deployment we used a file-transform to set the correct environment settings inside the file in the folder. With .NET 9 we switched to the default BlazorWebApp in combination with WebAssembly. In .NET 9 the feature was introduced. But now when we transform the inside the folder during deployment. The Blazor project is not starting due to the staticassets file. It took a lot of time to find out what went wrong, because the errormessage is not clear at all: Is there a way to work around this? Two options did work: Switch back from to Set the environment of the production server to For now we",Pregunta
Golang get Http method from events.APIGatewayProxyRequest,"I am implementing a Lambda in Go that needs to be able to access the HttpMethod (type) (ie. GET, POST, etc.). This is due to the need to use a switch statement in the Handler to access the correct function. I have tried using the api gateway with the template for passing the entire request and also tried it with no template. I also used the lambda URL (bypassing the API Gateway). The attributes I used are event.HTTPMethod and event.RequestContext.HTTPMethod. I used to know a way to convert the events.APIGatewayProxyRequest to a standard HttpRequest but can't seem to remember it. I am stuck at this moment. Both the events.HTTPMethod and the event.RequestContext.HTTPMethod are empty (strings) Any Ideas? Can anyone help?",Pregunta
Putting a background in multiple tabs using Tkinter Notebook doesn't work (Python),"I am currently trying to develop a small text editor, and to make it more useful I put tabs, so you can open multiple files at once (like VSCode for example). I'm using Python 3.13.1, and Tkinter. I created a class named . The structure of my code is : The structure containing my tabs is , initialized as Every tab has a associated to it, where there is (for the moment) a text editor ( ), and every tab is stored in The text editors are also stored in I have the method, and right after it a method that helps my code be easier to read. This method is called right after I call the class, in my",Pregunta
VCPKG: create & use local registry instead of remote,"Currently I use cmake + vcpkg configured under manifest mode to query a remote registry (defined in vcpkg-configuration.json) for package dependency. It works fine for a first run - packages have been built/installed under ""vcpkg_installed"" folder. I also noticed that there are UUID folders containing vcpkg.json and portfile.cmake for the packages under folder %APPDATA%/local/vcpkg/git-tree . Now I would like to freeze a few packages' versions and there is really no need to query the remote registry every time the code is rebuilt. But it seems that every time a rebuild is triggered, vcpkg will always first try to query the remote registry as part of the work flow, only to report that ""all required packages have been installed"" in the",Pregunta
"Rabbit Plagues, Genetic Algorithms","What if I told you we have a massively complex, multi-threaded optimization function simultaneously running on trillions of distributed biological computers that update their own hardware and software — and it’s all solar powered. Sounds too good to be true. It is. That function’s called evolution, and it doesn’t seem too compatible with our computers (without human intervention designing better computers). However, we have some ways of emulating the efficiency of evolution: Genetic Algorithms are a way to emulate natural selection using math. The evolution I’m fond of is punctuated equilibrium, which is much more rational than gradualism. Species don’t change much unless they need to, because there’s no room or reward for doing so. An environment-transforming event occurs, and",Artículo
changing color/linestyle for a second geom_smooth,"I am trying to make a plot with mulitple groups, each group fit to a linear model one type I fit to an equally weighted model, the next time I fit to a model that is weighted by the number of points in the bin. Here is some sample simulated data: and here is how a plot the data I can add but that does not add to the legend. Can I add this to the legend? Better yet, can I set the color/style for each line and customize the legend to have group-a weighted fit, group-a unweighted fit,group-b weighted fit, group-b unweighted fit? forgot:",Pregunta
Kolmogorov–Smirnov test(KS Test) in Python.,"KS Test is used to check if two continuous distributions follow the same distribution or not. Below is the Python code for performing KS Test. # Import Libraries import numpy as np import seaborn as sns from scipy import stats import matplotlib.pyplot as plt #Generating Normal Random Variable X x = stats.norm.rvs(size= 100) #Draw Kernel Density Estimation Plot for X sns.kdeplot(np.array(x),bw = 0.5) plt.show() #Use kstest function available under scipy to compare X with Normal Distribution. stats.kstest(x, ‘norm’) #Output : KstestResult(statistic=0.063772217543546034, value=0.81075786049050036) Conclusion: P-value is higher than the Significance level(Also known as Alpha .05 in our case) so we accept the Null Hypothesis which implies x is normally distributed. Follow us to get more such articles.",Artículo
gin-contrib session testing randomly fails on gitlab ci,"I am using gin-contrib sessions and reproduced the tests of this example test file: https://github.com/gin-contrib/sessions/blob/98372e3e8562a0d4b3d319db0d79ffbf5898e360/tester/tester.go In contrast to the example, I set some session options in my login handler: Now I wrote a test for this handler: This function should sign in a user defined in the fixtures. It works locally, but randomly fails as soon as I try to run it in a gitlab ci. Here is my gitlab ci script: The fixtures are being loaded, the user should be able to log in, but the test randomly sometimes passes and sometimes fails.",Pregunta
How did Gin generate SSL certificate for me although port 80 and CNAME are blocked?,"I've been trying to get a SSL certificate, but my ISP blocks port 80 and my domain service doesn't allow to set CNAME records. As I way about to give up I stumbled upon which is a feature of some Golang web frameworks and it magically generated a certificate for me . My question is: How? Can someone explain this to me? Gin : https://github.com/gin-gonic/autotls My code:",Pregunta
Developing a fully Serverless Web app,"Developing a fully Serverless Web app Background As many companies tend towards a service oriented architecture, developers will often wonder whether more and more parts of their service could be moved into the cloud. Databases, file storage, and even servers are slowly transitioning to the cloud, with servers being run in virtual containers as opposed to being hosted on a dedicated machine. Recently, FaaS (function as a service) were introduced to allow developers to upload their “application logic” to the cloud without requiring the server, essentially abstracting the servers away. Despite not having to worry about the servers, developers find that they now have to deal with the cloud. Complexity with uploading, deploying and versioning now become cloud related. This,",Artículo
How to use OpenSSL BIOs? Combine BIO_s_socket and BIO_f_ssl,"I'm writing a simple application to connect to a server, using OpenSSL. The initial idea was to write a custom BIO method to get information on the hardware socket timestamp via linux's SO_TIMESTAMPING, but in the meantime I realized that I'm missing something in how to build a proper BIO, so I restarted my understanding process from the scratch. Most basic idea: let's use a BIO to connect to the socket and a BIO to do the crypto stuff, in order to recreate the basic behaviour of SSL_write and SSL_read. The code that is instantiating the BIO method and binding it to the SSL is the following: In this way I expect that under the hood SSL_read is doing a",Pregunta
numpy TypeError with importing GPflow in ipython,"I installed and just tried to import it with . But, I got an error like below. The versions of the modules are as follows. numpy version: 1.24.3 GPflow version: 2.10.0 python version: 3.11.5 ipython version: 9.4.0 One thing weird about this error is that this error actually disappear if I don't use . If I use just normal (this means that type ""python"" in terminal instead of ""ipython"" to launch Python) and do , then it works without the numpy TypeError above. But, I feel much comfortable with platform for using Python and thus I hope to use in . So, may I ask you how I could solve this issue?",Pregunta
Is there a way to expand this div to 100% of the screen without the scrollbar to appear?,I have this html and tailwindcss code: Ideally if dynamically the navbar or the footer change their height the height should change accordingly. I can fix this using on the parents divs. But in some pages I can't. Because sometimes I cannot change the parent divs classes. Obviously I'm not looking for a Javascript solution. Can you help me?,Pregunta
How Can You Drive Growth For Your Flower Delivery App?,"Undoubtedly, mobile apps have become a new bandwagon across the business industry. Providing the utmost flexibility and easiness for purchasing goods, mobile apps have revolutionized the buying-selling paradigm completely. All you have to do is just add your favorite products to cart and then click on, “buy now” option. This process has enhanced the convenience for customers across the globe. For instance, the company Uber has acquired half of the market with its services. It is the first privately funded company of Silicon Valley that has achieved tremendous success. ‘That’s the reason businesses are investing significantly in mobile apps, regardless of the kind of product. You can find an array of products online, be it food, clothes, and even groceries.",Artículo
Strict aliasing violation in C,"Does the following violate strict aliasing rule in C? I think it is violated but I am confused as FFTW library say that we can do this. This function is defined in for a real floating pointer. But in the fftw documentation , it is written that we can cast pointer (for example here from to ) Two arrays have equivalent alignment (for the purposes of applying a plan) if and only if fftw_alignment_of returns the same value for the corresponding pointers to their data (typecast to double* if necessary).",Pregunta
"Check if rows exists, and add if not","This is my table: user_id last_activity_time 1 2025-06-20 11:00:01 2 2025-06-20 11:00:02 3 2025-06-20 11:00:03 4 2025-06-20 11:00:04 Let's say, my input parameter if a user id list: . I want to check if there are any rows for any of these user ids in the last 10 minutes. If yes, return those users (who appeared in the last 10 minutes). If not, add whole input list to the table. This code works fine: But it uses a . I am wondering if it is possible to do the same thing with . From my tests, it was not working, because when I asked for users not present in table, would not lock anything, and it did not guarantee atomicity.",Pregunta
How Does Connection Pooling Work In Django?,"If I'm not wrong, currently there are two ways to have connection pooling in Django: Native Connection Pooling (Django 5.x) Using PGBouncer I want to know that how connection pooling works behind the scene in Django. In FastAPI, there is one ""permanent"" process that handles all requests. We can have a connection pool using for example driver. In its simplest form, it creates like 10 connections to the Postgresql database(using 10 unix socket connections), then when a coroutine request a connection, it gives it from the pool. But in Django, there is no single permanent process. If we use Gunicorn with sync workers, every worker instantiates a Django application to handle one request at a time. There is no shared",Pregunta
TypeScript map function not throwing error on function with incorrect parameter count,"I have a custom map function in TypeScript defined as follows: This function expects the fn argument to be a function that takes two parameters: a number (n) representing the array element and a number (i) representing the index, and returns a number. However, when I try to pass a function that only accepts one parameter, like this: I am not getting any TypeScript errors during compilation (using tsc from the command line). Can anyone pls tell me why?",Pregunta
SafeZone: A web application mapping COVID and disaster related information for your state.,"The premise is simple, when disaster strikes, what is your plan? Do you even have a plan? Does your plan account for different types of disasters? With SafeZone, you will feel safer knowing you have a plan of action when the worst moments strike. Recently, I worked with a team to build a web app, with it’s goal being to deliver ongoing disaster related information to the user for their state of residence in the US. Along with current disaster related information, the app would also deliver 7 day moving averages for COVID positivity rates. The scope of the project could potentially be very large with thousands of cities across the US, so we wanted to deliver an MVP that",Artículo
Joining table to get all individual stocks in the SP500 on a given date for later aggregation,"I have tried a bunch of merges, foverlaps, and other attempts but I cant seem to get this one. I have two data sets: 1) individual_equities with the columns ""TICKER"" ""date"" ""Price"" ""Volume"" where the ""date"" column is the date that price and volume are being recorded, and 2) sp500_start_end that contains ""TICKER"" ""start_date"" and ""end_date"". The sp500_start_end table occasionally has two rows per ""Ticker"" where a stock was an active member of the sp500 from 1996-01-01 to 1998-12-31, was delisted, and then again relisted for 2002-03-12 to 9999-12-31 to signial it is a present member. sp500_start_ end looks like this: ind_equities looks like this: I want a final table to do aggregations on and I cannot seem to get",Pregunta
PutState and GetState: The API in Chaincode Dealing with the State in the Ledger (Part 1),"Overview Ledger in Hyperledger Fabric is composed of two parts: blockchain of transaction records and world state (link). Each channel has its own ledger, and each peer node joining the channel will keep a separate copy of this ledger. Chaincode (smart contract in Hyperledger Fabric) keeps the business logic agreed by all participants, interacting with the world state, the single source of truth. In this article we try to explore the way chaincode writes on and reads state from the ledger. It is done through PutState and GetState API. GetState comes with some variations to make the reading with flexibility. APIs used in Chaincode to update / obtain state info from world state database It is always good to learn",Artículo
Debugging Mainframe COBOL programs with VS Code,"Many developers do multi-platform development where learning new steps to do common tasks like debugging is painful. How can I simply use a common IDE like VS Code to debug Cobol? Grace Hopper coined the word Bug and Debug after finding a moth in a calculator in 1945. Similarly, Debugging is the process of finding and resolving defects or problems within a computer program that prevents the correct operation of computer software or a system. Debugging is an essential part of software development as it is one of the basic developer tools used to understand the code, find problems, and test various flows through an application. This along with other skills and tools support, successfully build and delivery of an",Artículo
Smart Contract Software Developer in Kolkata 2021–9870635001|Nadcab Technology,"Direct Whatsapp- https://bit.ly/2op0VQr website visit- https://bit.ly/2nJJwBV What is Smart Contract Software Developer? Blockchain Smart Contract Software Developer is a virtual contract built using a blockchain platform for stability and privacy purposes. This smart contract can be concluded between two parties without the intervention of a third party, and the terms and conditions are drawn up according to the authority. Once these terms and conditions are met, funds are automatically transferred from one party to another. Smart contract data is stored on the ledger to enhance security. These enticing qualities not only make smart contracts stand out from the box but also garnered attention from various industries. Nadcab Technology, a leading smart contract, provides a comprehensive range of smart contract development,",Artículo
How to write Rails scope for this SQL query,"I have an issue to get rows from database by multiple conditions. I have a table Slot and SlotAlteration. The slot has a time_off_id field. SlotAlteration has two columns, slot_id and action. Action can be 0 or 1. Each slot can have up to two entries in the SlotAlteration table with action 0 and 1 (not 0 and 0, and not 1 and 1) or have no connections to SlotAlteration at all. Query i need to convert into rails scope is Alterr is SlotAlteration table This is sql structure and query for visual representation. https://dbfiddle.uk/yejKnaAi My Slot model has association I tried that, but this is not select slots that are haven't alterations",Pregunta
How to capture STDERR output in Jupyter Notebook with R kernel,"Jupyter Notebook with R kernel (IRkernel) cannot show output to STDERR. For example, below are two cells in an .ipynb file: However, the terminal that runs the Jupyter server in background, does output Is it possible to capture STDERR output in Jupyter Notebook with R kernel? If so, how? Thanks. PS. Session info R : 4.4.0 IRkernel (R pkg) : 1.3.2 Python : 3.12.3 IPython : 8.26.0 ipykernel : 6.29.4 ipywidgets : 8.1.2 jupyter_client : 8.6.3 jupyter_core : 5.7.2 jupyter_server : 2.14.0 jupyterlab : 4.3.4 nbclient : 0.10.0 nbconvert : 7.16.4 nbformat : 5.10.4 notebook : 7.2.0 qtconsole : 5.6.0 traitlets : 5.14.3",Pregunta
10 Best SQL and Database Courses For Beginners — 2021 [UPDATED],"Hello guys, if you are a computer science graduate or new into the programming world and interested in learning Database and, SQL and looking for some awesome resources —like books, courses, and tutorials — to start with, then you have come to the right place. In the past, I have shared some of the best SQL books and tutorials, and today, I am going to share some of the best SQL and database courses to learn so you can master this useful technology. If you don’t know what SQL is and why you should learn it, let me give you a brief overview of SQL for everyone’s benefit. SQL is a programming language to work with a database. You can",Artículo
Stacks 2.0 vs AWS Lambda,"The much anticipated release of the Stacks 2.0 blockchain is drawing near and we thought it might be helpful for AWS developers to understand why this is big news and how it might affect them. Put simply the Stacks network adds smart contract capability to the Bitcoin blockchain. Clarity Contracts share many of the characteristics of the underlying blockchain. They are uncensorable, transparent and inherit the most important features of a global consensus network — they provide an independent mechanism for determining the ownership of digital assets. In practice Clarity Contracts are similar to lambda functions in AWS’ Serverless, small units of code with responsibilities for carrying out well defined operations, but unlike lambda functions these contracts run securely on",Artículo
What's the most reliable method for cross-platform alarm signal handling or execution timeouts in Perl?,"I've added advisory locking to Sqitch , using Postgres advisory locks and MySQL GET_LOCK() . This feature prevents more than one instance of Sqitch from deploying to a database at one time. This works great, but I wanted to add a lock timeout, too, so that one never finds a CI/CD process hung for hours or days because something went amiss. MySQL's supports a timeout argument, but Postgres advisory locks do not. Since I thought it likely that other database engines would also not have timeouts, I thought it best to implement the timeout in Perl. Following the DBI manual, I used Sys::SigAction to set and handle the timeout : I also added tests to confirm it works with both",Pregunta
How to Mock S3ClientInterface with PHPUnit 10+,So this question has been asked here before - How to Mock Aws\S3\S3Client for phpunit // how to mock magic methods but the answer there is no longer valid because was deprecated in PHPUnit 10 . So the question remains - how do I mock an S3 client in a unit test in modern PHPUnit 10 / 11? It refuses to mock methods that don't exist and the vast majority of methods including are magic methods that don't actually exist . The only thing I have gotten to work is mocking the method - but that is very awkward especially trying to test multiple calls to separate methods. I assume there has to be a better way knowing how popular,Pregunta
eLeanSecurity Junior Penetration Tester (eJPT) Certified!,"Long time no see Some time has passed since myvery first post, and some major changes have taken place in my life. I’ve started working at IBM in June as an IT Specialist in the Global Technology Services division. I also enrolled in a MS in Cybersecurity. I know MS are not seen as something very useful in the infosec field because everything evolves extremely fast (SolarWinds hack for example), but for the HR offices in my country they are a +. I also got my hands on some certifications from the cybersec field. eJPT Course & Exam A journey of a thousand miles begins with one small step, and this was the first move of this ride I’ve embarked",Artículo
Data Not Showing in RecyclerView on Android Studio Emulator,"I’m working on an Android app where I’m trying to display data in a RecyclerView. The data is fetched from a local database and should be displayed in the RecyclerView, but it’s not showing up in the emulator. Here is my code: I’ve added logging statements, and the data seems to be fetched correctly from the database, but it’s not being displayed in the RecyclerView. Here are the logs: D/HomeActivity: Data fetched from database: [CategoryItems(...)] D/HomeActivity: Data set in adapter: 4 I’ve checked that the RecyclerView and adapter are properly initialized. What could be causing this issue?",Pregunta
How to return a named channel type that is read-only version of another channel type?,"I have a code that is similar to this: What I would like to do is to return a read-only version of the channel from the function. I've adding a read-only type that is compatible with the channel, and changing the function signature to use this type like this: but this gives a compile error: However if I drop the type and use native as return type it works: Is there a way to use the type for the return value? The channel in my real code is not actually of type - it is quite more complex generic struct. As I understand it - the type matches exactly the type . There is no covariance confusion going on here.",Pregunta
Intro to JavaScript Testing With Mocha,"With my last few blog posts, I spent time talking about the importance of testing with software development, and I gave an intro to writing tests with Rails. For this post, I’m going to talk about how to write tests in one of the foremost JavaScript testing frameworks. With plain old vanilla JavaScript, not using any frameworks like React or Angular, there are a variety of testing frameworks you can choose from, but I am going to talk about Mocha. The reason I chose Mocha is that the syntax is similar to the tests I was writing with Rails, and it is the framework my Bootcamp used for writing tests, so it feels familiar to me. It also has very",Artículo
How to Check a Sketchy Link Without Clicking It,"Let’s say you’re working through your dozens of emails, responding to clients or customers or business partners and you come across this one email from your bank informing you that you need to reset your password. This email comes completely out of the blue and to top it off you don’t recognize the senders email address. Do you click it? Maybe…maybe not. Did you know that you can investigate if that link is sketchy or not without clicking on it? This article and all the articles I write show up on my blog first. Head over there for more Cybersecurity thoughts, tips and write-ups: https://spenceralessi.com How to sniff out a sketchy link When it comes to hyperlinks, sometime’s it’s really",Artículo
OkHttpClient implementation security advice,"I'm having issues getting my kotlin api 24 app to connect to my api endpoint. The issue is related to ssl trusting. I've already tried adding the certificate to jdk trust store, and adding it to res/raw and manipulating the xml file, but to no avail. I asked ai to write a custom trust manager. The issue is resolved but I can't help but think this code will probably create security issues later on. Is this implementation ok? What can I do to improve it?",Pregunta
Looping through lines to pull matches into variables using Perl,"I have the output from an ssh capture that looks like this ... I used a loop to try and pull out the cage status and power supply status, ac, dc, and fan statuses I need the output like the following; but thinking i need another loop to process the second power supply: My code looks like the following:",Pregunta
